Date,Price,Open,High,Low,Change %
9-Jan-15,"1,223.40","1,209.65","1,224.00","1,207.45",1.19%
8-Jan-15,"1,208.98","1,210.51","1,216.65","1,204.67",-0.15%
7-Jan-15,"1,210.80","1,219.55","1,219.85","1,209.20",-0.69%
6-Jan-15,"1,219.20","1,204.85","1,223.15","1,201.85",1.22%
5-Jan-15,"1,204.45","1,189.34","1,208.15","1,183.45",1.28%
2-Jan-15,"1,189.18","1,182.70","1,194.60","1,168.75",0.61%
1-Jan-15,"1,181.97","1,183.78","1,184.53","1,181.97",-0.17%
31-Dec-14,"1,183.95","1,200.26","1,204.00","1,179.55",-1.36%
30-Dec-14,"1,200.24","1,183.37","1,210.29","1,180.89",1.45%
29-Dec-14,"1,183.10","1,195.71","1,197.79","1,179.35",-1.03%
26-Dec-14,"1,195.40","1,173.45","1,199.75","1,173.45",1.84%
24-Dec-14,"1,173.80","1,175.70","1,181.80","1,173.05",-0.16%
23-Dec-14,"1,175.68","1,175.03","1,185.49","1,172.59",0.05%
22-Dec-14,"1,175.05","1,195.33","1,202.18","1,170.56",-1.75%
19-Dec-14,"1,195.95","1,198.55","1,202.10","1,193.90",-0.20%
18-Dec-14,"1,198.40","1,188.70","1,213.55","1,188.65",0.82%
17-Dec-14,"1,188.70","1,196.69","1,203.40","1,184.23",-0.66%
16-Dec-14,"1,196.60","1,192.59","1,221.79","1,188.80",0.34%
15-Dec-14,"1,192.60","1,222.25","1,224.24","1,190.97",-2.45%
12-Dec-14,"1,222.60","1,227.99","1,228.38","1,215.98",-0.44%
11-Dec-14,"1,227.95","1,226.75","1,233.20","1,216.30",0.10%
10-Dec-14,"1,226.75","1,230.43","1,238.25","1,224.78",-0.33%
9-Dec-14,"1,230.85","1,203.64","1,238.55","1,199.45",2.30%
8-Dec-14,"1,203.20","1,193.09","1,208.59","1,187.31",0.94%
5-Dec-14,"1,192.05","1,205.70","1,208.20","1,186.50",-1.14%
4-Dec-14,"1,205.78","1,209.70","1,213.70","1,201.53",-0.32%
3-Dec-14,"1,209.64","1,199.01","1,214.95","1,194.65",0.89%
2-Dec-14,"1,199.01","1,210.74","1,213.05","1,192.32",-0.98%
1-Dec-14,"1,210.90","1,167.06","1,221.46","1,143.38",3.73%
28-Nov-14,"1,167.35","1,190.70","1,191.56","1,165.35",-2.05%
27-Nov-14,"1,191.75","1,198.20","1,200.10","1,185.95",-0.51%
26-Nov-14,"1,197.90","1,200.96","1,202.61","1,195.02",-0.27%
25-Nov-14,"1,201.19","1,197.55","1,203.40","1,190.80",0.32%
24-Nov-14,"1,197.40","1,201.53","1,204.24","1,192.85",-0.33%
21-Nov-14,"1,201.40","1,193.78","1,208.01","1,186.95",0.64%
20-Nov-14,"1,193.75","1,183.36","1,197.31","1,176.87",0.88%
19-Nov-14,"1,183.30","1,197.57","1,202.77","1,175.97",-1.19%
18-Nov-14,"1,197.55","1,186.42","1,205.00","1,183.30",0.93%
17-Nov-14,"1,186.55","1,188.75","1,194.26","1,181.62",-0.14%
14-Nov-14,"1,188.25","1,162.09","1,193.74","1,147.04",2.26%
13-Nov-14,"1,161.96","1,160.84","1,168.12","1,154.24",0.09%
12-Nov-14,"1,160.92","1,164.67","1,170.37","1,157.51",-0.33%
11-Nov-14,"1,164.80","1,150.65","1,173.60","1,146.32",1.23%
10-Nov-14,"1,150.60","1,179.41","1,179.41","1,147.45",-2.21%
7-Nov-14,"1,176.65","1,141.20","1,178.99","1,132.25",3.11%
6-Nov-14,"1,141.20","1,141.45","1,149.70","1,138.10",-0.02%
5-Nov-14,"1,141.40","1,168.19","1,169.85","1,137.70",-2.30%
4-Nov-14,"1,168.30","1,165.55","1,174.30","1,164.00",0.25%
3-Nov-14,"1,165.35","1,173.76","1,174.17","1,162.17",-0.77%
31-Oct-14,"1,174.42","1,198.91","1,203.30","1,161.75",-2.04%
30-Oct-14,"1,198.90","1,211.50","1,216.76","1,195.96",-1.06%
29-Oct-14,"1,211.80","1,228.21","1,230.86","1,208.52",-1.35%
28-Oct-14,"1,228.40","1,225.76","1,235.81","1,222.90",0.24%
27-Oct-14,"1,225.40","1,231.50","1,232.26","1,225.06",-0.49%
24-Oct-14,"1,231.46","1,232.59","1,234.70","1,229.10",-0.06%
23-Oct-14,"1,232.15","1,240.85","1,244.96","1,226.43",-0.72%
22-Oct-14,"1,241.03","1,249.57","1,250.08","1,240.66",-0.66%
21-Oct-14,"1,249.30","1,246.99","1,255.60","1,245.40",0.22%
20-Oct-14,"1,246.60","1,238.54","1,248.94","1,234.70",0.68%
17-Oct-14,"1,238.19","1,239.69","1,242.30","1,231.99",-0.07%
16-Oct-14,"1,239.10","1,241.67","1,245.60","1,235.75",-0.16%
15-Oct-14,"1,241.07","1,233.65","1,249.80","1,222.17",0.67%
14-Oct-14,"1,232.75","1,237.08","1,238.30","1,231.25",-0.36%
13-Oct-14,"1,237.15","1,223.54","1,237.65","1,223.34",1.12%
10-Oct-14,"1,223.48","1,224.49","1,225.84","1,217.60",-0.05%
9-Oct-14,"1,224.15","1,221.84","1,233.60","1,219.15",0.20%
8-Oct-14,"1,221.70","1,209.39","1,223.84","1,205.12",1.05%
7-Oct-14,"1,209.00","1,207.15","1,213.06","1,202.91",0.15%
6-Oct-14,"1,207.15","1,191.79","1,209.20","1,183.96",1.34%
3-Oct-14,"1,191.20","1,213.84","1,215.90","1,190.14",-1.84%
2-Oct-14,"1,213.50","1,213.34","1,221.84","1,208.69",-0.01%
1-Oct-14,"1,213.65","1,209.00","1,219.66","1,204.75",0.36%
30-Sep-14,"1,209.24","1,216.24","1,219.96","1,204.90",-0.55%
29-Sep-14,"1,215.95","1,219.20","1,223.76","1,214.78",-0.29%
26-Sep-14,"1,219.51","1,222.59","1,230.50","1,212.54",-0.25%
25-Sep-14,"1,222.62","1,217.02","1,224.88","1,207.03",0.46%
24-Sep-14,"1,217.05","1,222.81","1,226.16","1,215.96",-0.48%
23-Sep-14,"1,222.95","1,215.30","1,235.06","1,214.11",0.65%
22-Sep-14,"1,215.05","1,216.54","1,220.70","1,208.72",-0.12%
19-Sep-14,"1,216.45","1,225.50","1,228.86","1,213.87",-0.73%
18-Sep-14,"1,225.45","1,223.20","1,228.06","1,216.27",0.18%
17-Sep-14,"1,223.25","1,234.95","1,239.46","1,221.67",-0.97%
16-Sep-14,"1,235.20","1,233.10","1,242.16","1,231.92",0.18%
15-Sep-14,"1,233.00","1,228.40","1,238.56","1,225.56",0.36%
12-Sep-14,"1,228.63","1,240.59","1,242.04","1,227.75",-0.98%
11-Sep-14,"1,240.75","1,248.68","1,250.46","1,234.97",-0.64%
10-Sep-14,"1,248.75","1,256.19","1,258.15","1,243.91",-0.59%
9-Sep-14,"1,256.20","1,255.43","1,258.25","1,247.41",0.04%
8-Sep-14,"1,255.70","1,268.75","1,271.85","1,251.50",-1.04%
5-Sep-14,"1,268.85","1,260.96","1,273.71","1,257.16",0.61%
4-Sep-14,"1,261.10","1,268.80","1,276.76","1,260.26",-0.63%
3-Sep-14,"1,269.07","1,266.14","1,271.80","1,261.69",0.25%
2-Sep-14,"1,265.90","1,287.59","1,288.10","1,262.92",-1.66%
1-Sep-14,"1,287.30","1,287.05","1,290.36","1,282.80",-0.02%
29-Aug-14,"1,287.57","1,290.29","1,291.80","1,283.66",-0.19%
28-Aug-14,"1,290.00","1,282.75","1,296.76","1,283.02",0.55%
27-Aug-14,"1,282.95","1,281.09","1,288.00","1,280.40",0.16%
26-Aug-14,"1,280.90","1,276.55","1,291.06","1,275.50",0.34%
25-Aug-14,"1,276.60","1,279.67","1,281.06","1,274.42",-0.36%
22-Aug-14,"1,281.23","1,276.64","1,283.50","1,274.49",0.31%
21-Aug-14,"1,277.25","1,291.80","1,291.80","1,273.32",-1.15%
20-Aug-14,"1,292.15","1,295.60","1,297.91","1,288.04",-0.26%
19-Aug-14,"1,295.50","1,297.65","1,302.61","1,293.96",-0.15%
18-Aug-14,"1,297.46","1,303.91","1,304.07","1,295.72",-0.55%
15-Aug-14,"1,304.60","1,312.95","1,315.41","1,292.61",-0.66%
14-Aug-14,"1,313.24","1,312.86","1,319.60","1,309.19",0.03%
13-Aug-14,"1,312.86","1,308.69","1,315.60","1,304.90",0.33%
12-Aug-14,"1,308.60","1,307.90","1,317.86","1,305.46",0.04%
11-Aug-14,"1,308.10","1,309.35","1,311.66","1,304.96",-0.11%
8-Aug-14,"1,309.60","1,313.50","1,322.86","1,306.16",-0.30%
7-Aug-14,"1,313.55","1,305.89","1,314.75","1,302.11",0.56%
6-Aug-14,"1,306.25","1,288.05","1,309.86","1,287.46",1.42%
5-Aug-14,"1,288.00","1,287.91","1,293.66","1,282.56",-0.03%
4-Aug-14,"1,288.35","1,293.98","1,295.81","1,286.17",-0.44%
1-Aug-14,"1,294.10","1,282.24","1,297.20","1,280.90",0.92%
31-Jul-14,"1,282.35","1,294.86","1,297.56","1,281.02",-0.98%
30-Jul-14,"1,295.05","1,298.94","1,302.76","1,291.85",-0.28%
29-Jul-14,"1,298.75","1,304.59","1,312.75","1,295.85",-0.42%
28-Jul-14,"1,304.25","1,308.25","1,309.46","1,301.42",-0.29%
25-Jul-14,"1,308.05","1,294.00","1,308.50","1,290.16",1.14%
24-Jul-14,"1,293.35","1,304.14","1,305.35","1,287.81",-0.83%
23-Jul-14,"1,304.15","1,307.70","1,311.31","1,302.61",-0.24%
22-Jul-14,"1,307.35","1,311.89","1,315.20","1,301.75",-0.35%
